,open,high,low,close,volume,Ticker,Date
186573,122.0,122.5,122.0,122.5,384,NKE,2023-04-03 04:10:00
186578,122.06,122.06,122.03,122.04,977,NKE,2023-04-03 08:10:00
186579,121.98,121.98,121.98,121.98,200,NKE,2023-04-03 08:15:00
186581,121.71,121.9353,121.71,121.9353,200,NKE,2023-04-03 08:25:00
186582,122.5,122.85,122.23,122.275,165005,NKE,2023-04-03 09:35:00
186583,122.3017,122.62,122.14,122.2101,56868,NKE,2023-04-03 09:40:00
186585,122.08,122.52,122.055,122.52,53455,NKE,2023-04-03 09:50:00
186589,122.18,122.21,121.78,121.9629,67117,NKE,2023-04-03 10:10:00
186590,121.96,122.0,121.73,122.0,70388,NKE,2023-04-03 10:15:00
186591,121.99,122.07,121.93,122.05,53303,NKE,2023-04-03 10:20:00
186592,122.06,122.28,122.06,122.155,58343,NKE,2023-04-03 10:25:00
186594,122.13,122.235,122.07,122.08,71692,NKE,2023-04-03 10:35:00
186595,122.08,122.08,121.61,121.65,70113,NKE,2023-04-03 10:40:00
186596,121.66,121.7,121.44,121.44,63526,NKE,2023-04-03 10:45:00
186599,121.25,121.29,121.11,121.15,57507,NKE,2023-04-03 11:00:00
186601,121.25,121.269,121.06,121.125,55019,NKE,2023-04-03 11:10:00
186602,121.125,121.15,121.04,121.08,26334,NKE,2023-04-03 11:15:00
186605,121.27,121.295,121.22,121.28,28190,NKE,2023-04-03 11:30:00
186610,121.64,121.7299,121.6,121.64,18455,NKE,2023-04-03 11:55:00
186616,121.92,122.02,121.765,121.825,42070,NKE,2023-04-03 12:25:00
186618,121.73,121.77,121.69,121.76,19354,NKE,2023-04-03 12:35:00
186619,121.75,121.77,121.67,121.7,57042,NKE,2023-04-03 12:40:00
186622,121.55,121.63,121.42,121.42,26715,NKE,2023-04-03 12:55:00
186624,121.27,121.28,121.15,121.27,28514,NKE,2023-04-03 13:05:00
186627,121.39,121.39,121.2,121.28,123920,NKE,2023-04-03 13:20:00
186629,121.22,121.22,120.97,120.97,39916,NKE,2023-04-03 13:30:00
186631,120.93,121.08,120.89,120.9935,91677,NKE,2023-04-03 13:40:00
186633,120.93,120.96,120.82,120.95,28108,NKE,2023-04-03 13:50:00
186635,121.02,121.19,120.99,121.16,24784,NKE,2023-04-03 14:00:00
186636,121.145,121.29,121.11,121.26,45142,NKE,2023-04-03 14:05:00
186637,121.26,121.35,121.25,121.3,43027,NKE,2023-04-03 14:10:00
186639,121.42,121.43,121.315,121.33,36979,NKE,2023-04-03 14:20:00
186640,121.33,121.33,121.19,121.3,38839,NKE,2023-04-03 14:25:00
186641,121.31,121.34,121.26,121.285,22202,NKE,2023-04-03 14:30:00
186644,121.43,121.47,121.37,121.385,22443,NKE,2023-04-03 14:45:00
186645,121.39,121.45,121.32,121.42,30721,NKE,2023-04-03 14:50:00
186646,121.405,121.465,121.35,121.37,22321,NKE,2023-04-03 14:55:00
186647,121.38,121.43,121.38,121.4,28551,NKE,2023-04-03 15:00:00
186648,121.41,121.51,121.39,121.44,43442,NKE,2023-04-03 15:05:00
